Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,2020,,45.5844578,4.7736423,Rhône,Stimultania - Pôle de photographie,https://www.stimultania.org/,1 rue Joseph Longarini,Givors,69700,1 rue Joseph Longarini Givors 69700 ,"Lieu d'exposition de photographie libre et indépendante, à destination des publics éloignés de l’offre culturelle, à l'instar des demandeurs d’asile. Partenariats au sein du réseau Traces, participe à la biennale 2020.",Equipements culturels / lieux / Champ culturel,,,Photographie,
,,,44.5260727,5.065906399999999,,Les Murs ne Servent à rien,,1 Rue Justin Jouve,Dieulefit,26220,1 Rue Justin Jouve Dieulefit 26220 ,Week-end de films et de lectures sur les questions de migration. Événement porté par l'association Passerelles.,,,,,
,2020,2018,45.377237,4.282020999999999,Loire,Radio Ondaine,https://www.radio-ondaine.fr/,1 rue le Corbusier,Firminy,42700,1 rue le Corbusier Firminy 42700 ,"Une radio musicale, citoyenne et associative, engagée dans le réseau Traces. ",Journalisme-documentaire (qui peut se mêler avec artistes)-media,,,Radio,Association
,,2018,45.9612574,5.3248751,Ain,Lycee de la plaine de l'ain,https://plaine-ain.ent.auvergnerhonealpes.fr/,1 Rue Léon Blum,Ambérieu-en-Bugey,01500,1 Rue Léon Blum Ambérieu-en-Bugey 01500 ,"Lycée accueillant des ateliers lors des biennales Traces, impliquant ses élèves sur les thématiques des migrations.",,,,,
,,2018,45.7273879,4.9197999,Loire,Espace Albert Camus,https://www.ville-bron.fr/culture-sport-mes-loisirs/envie-de-culture/les-equipements-culturels/pole-en-scenes/espace-albert-camus,1 Rue Maryse-Bastié,Bron,69500,1 Rue Maryse-Bastié Bron 69500 ,"Scène régionale Rhône-Alpes : musique, arts du cirque, danse, magie, théâtre, marionnette. A déjà accueilli des événements du réseau Traces.",Equipements culturels / lieux / Champ culturel,,,,
,,2018,43.5638425,1.2940789,,Festival du Film Historique,http://www.fiffh.com/,1 Rue Maubec,Plaisance-du-Touch,31830,1 Rue Maubec Plaisance-du-Touch 31830 ,,,,,Cinéma,Festival
,,,45.7789533,3.0858905,,ActionFroid Clermont Ferrand/Auvergne Rhône Alpes,https://www.facebook.com/groups/actionfroid.clermontferrand/,1 Rue Philippe Marcombes,Clermont-Ferrand,63000,1 Rue Philippe Marcombes Clermont-Ferrand 63000 ,"Association d'aide aux personnes SDF, en particulier à la défense contre le froid (distributions de couvertures de survie, polaires, etc.).",,,,,
,,2018,45.1920862,5.731301999999999,Isère,Cie du Jour,http://www.compagniedujour.net/,1 rue président Carnot,Grenoble,38000,1 rue président Carnot Grenoble 38000 ,"La Compagnie du Jour est une compagnie de théâtre basée sur Grenoble, dont l'action et les créations sont fortement tournées vers l'échange international (Maroc depuis 2008, Canada depuis 2016, Tunisie, Algérie, Chine...). ",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,,2018,45.7726395,4.8803189,Rhône,Dans tous les sens,http://www.danstouslessens.org/,1 rue Robert Desnos,Villeurbanne,69100,1 rue Robert Desnos Villeurbanne 69100 ,Espace et ateliers d'écriture,,,,Espace/ateliers d'écriture,Association
,,,46.20609750000001,5.2302979,Ain,Fédération des centres sociaux de l'Ain,https://ain.centres-sociaux.fr/,10 allée de Challes,Bourg-en-Bresse,01000,10 allée de Challes Bourg-en-Bresse 01000 ,"En plus de leur action de maintien du lien social à l'échelle locale, les Centres Sociaux de l'Ain accueillent des événements de la biennale Traces.",,,,,
,,,45.7862345,4.796545,,Culture pour tous ALLIES,http://culture-pour-tous.fr,10 place Abbée Pierre,Lyon,69009,10 place Abbée Pierre Lyon 69009 ,L'Association Lyonnaise pour L’Insertion Economique et Sociale a pour but de lutter contre l’exclusion et les discriminations en favorisant  la participation à la vie culturelle et sportive de tous.,,,,,
,2020,2018,45.7465784,4.8266227,Rhône,Université Catholique de Lyon/ /Institut des Sciences et de la Famille,https://www.ucly.fr,10 Place des Archives,Lyon,69002,10 Place des Archives Lyon 69002 ,"A accueilli en 2018 une table ronde sur les thématiques de la religion et de la migration, en partenariat avec la biennale Traces 2018.",Recherche,,,Université,Institution
,,2018,45.7465784,4.8266227,Auvergne Rhône alpes,RESACOOP,http://www.resacoop.org,10 place des Archives,Lyon,69288,10 place des Archives Lyon 69288 ,"Conseille et accompagne les organisations engagées dans des actions de coopération et de solidarité internationale avec les pays d’Afrique, d’Amérique du Sud, d’Asie et d’Europe de l’Est. Organise le Festival des solidarité.",,,,*,
,,2018,49.0496932,2.0086191,,Alineaire,http://www.alineaire.fr/,10 Place du Nautilus,Cergy,95800,10 Place du Nautilus Cergy 95800 ,"Collectif d’artistes numériques qui mêlent jeu, technologie et gestes. Participent à la biennale Traces 2020.",,,,,Collectif
1,2020,,45.4417554,4.3875812,Loire,Cinéma(s) Le(s) Méliè(s),http://www.lemelies.com/,10 place Jean Jaurès,Saint-Etienne,42000,10 place Jean Jaurès Saint-Etienne 42000 ,"Cinéma indépendant Art & Essai, engagé sur beaucoup de plans, en particulier sur la question de la migration et en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,,
